id	binary_label	multiclass_label	ner_label
1624062642003353600	1	Yardım Çağrısı	[[96, 101, 'il'], [88, 95, 'ilçe'], [28, 40, 'mahalle veya köy'], [141, 158, 'mahalle veya köy'], [41, 71, 'bulvar veya cadde veya sokak'], [159, 169, 'bulvar veya cadde veya sokak'], [170, 191, 'apartman veya bina veya site'], [72, 82, 'apartman veya bina veya site'], [192, 196, 'no'], [192, 202, 'no'], [83, 87, 'no'], [203, 232, 'kişi'], [255, 268, 'kişi'], [0, 11, 'kişi'], [234, 247, 'kişi durumu'], [103, 109, 'ihtiyaç']]
1624765011666116608	0	Bilgi Paylaşımı	[]
1622453904096075776	0	Bilgi Paylaşımı	[]
1622678962072690688	0	Yardım Çağrısı	[]
1624563834005463040	0	İhtiyaç	[[10, 19, 'kişi'], [206, 217, 'ihtiyaç'], [236, 248, 'ihtiyaç'], [170, 176, 'ihtiyaç'], [219, 222, 'ihtiyaç'], [224, 234, 'ihtiyaç']]
1623969998380179712	0	Bilgi Paylaşımı	[]
1624732288452796416	1	Yardım Çağrısı	[[187, 192, 'il'], [180, 185, 'ilçe'], [80, 98, 'mahalle veya köy'], [99, 118, 'bulvar veya cadde veya sokak'], [119, 133, 'apartman veya bina veya site'], [193, 210, 'kişi'], [0, 6, 'kişi'], [7, 14, 'kişi durumu'], [136, 177, 'yer'], [16, 36, 'ihtiyaç']]
1622899898373775360	0	Bilgi Paylaşımı	[]
1622768681582206976	0	Konu Dışı	[]
1623144718782570496	0	Bilgi Paylaşımı	[]
1622756512794828800	0	İhtiyaç	[[168, 173, 'il'], [101, 106, 'il'], [189, 194, 'il'], [0, 12, 'ihtiyaç'], [71, 82, 'ihtiyaç'], [196, 200, 'ihtiyaç']]
1624154888170004480	0	Konu Dışı	[]
1624806040398094336	0	Bilgi Paylaşımı	[]
1622816804698742784	0	Bilgi Paylaşımı	[]
1623339495360716800	0	Konu Dışı	[]
1622814682636750848	0	Bilgi Paylaşımı	[]
1623809954904952832	0	İhtiyaç	[[14, 19, 'il'], [20, 27, 'ilçe'], [86, 105, 'mahalle veya köy'], [178, 192, 'kişi'], [106, 134, 'yer'], [113, 115, 'ihtiyaç'], [46, 55, 'ihtiyaç'], [35, 44, 'ihtiyaç'], [57, 63, 'ihtiyaç'], [65, 70, 'ihtiyaç']]
1623119543190056960	0	Konu Dışı	[]
1624241587566833664	1	Yardım Çağrısı	[[78, 83, 'il'], [70, 75, 'ilçe'], [0, 17, 'mahalle veya köy'], [18, 31, 'bulvar veya cadde veya sokak'], [32, 53, 'apartman veya bina veya site'], [54, 68, 'no'], [98, 108, 'kişi'], [84, 94, 'kişi'], [128, 144, 'kişi durumu'], [109, 122, 'kişi durumu']]
1623807040987463680	0	İhtiyaç	[[34, 47, 'il'], [21, 33, 'ilçe'], [0, 20, 'mahalle veya köy'], [49, 63, 'kişi'], [76, 81, 'ihtiyaç'], [85, 94, 'ihtiyaç']]
1622996922037415936	0	Bağış ve Gönüllülük	[]
1624041453709144064	0	Bilgi Paylaşımı	[]
1622939932699373568	0	Bilgi Paylaşımı	[]
1624094283178422272	0	Konu Dışı	[]
1624099564910260224	0	Bağış ve Gönüllülük	[]
1623003301938704384	0	Yardım Çağrısı	[[15, 33, 'kişi'], [1, 14, 'kişi']]
1622699219730542592	1	Yardım Çağrısı	[[32, 37, 'ilçe'], [7, 12, 'ilçe'], [13, 18, 'ilçe'], [13, 31, 'mahalle veya köy'], [32, 48, 'bulvar veya cadde veya sokak'], [56, 62, 'ihtiyaç']]
1623308028995948288	0	Bilgi Paylaşımı	[]
1624872287731085312	0	İhtiyaç	[[236, 241, 'il'], [9, 14, 'il'], [15, 22, 'mahalle veya köy'], [34, 46, 'bulvar veya cadde veya sokak'], [47, 51, 'no'], [52, 77, 'kişi'], [127, 145, 'kişi durumu'], [78, 92, 'kişi durumu'], [173, 178, 'ihtiyaç'], [192, 201, 'ihtiyaç'], [179, 183, 'ihtiyaç'], [184, 191, 'ihtiyaç']]
1624327359745650688	0	Bağış ve Gönüllülük	[]
1624834448066768896	0	Bilgi Paylaşımı	[]
1622832639936720896	0	İhtiyaç	[[133, 138, 'il'], [254, 259, 'il'], [139, 147, 'ilçe'], [13, 18, 'ihtiyaç'], [20, 25, 'ihtiyaç'], [6, 11, 'ihtiyaç']]
1624021718581800960	0	Bağış ve Gönüllülük	[]
1624385642384719872	1	Yardım Çağrısı	[[177, 182, 'il'], [169, 176, 'ilçe'], [147, 168, 'apartman veya bina veya site'], [56, 66, 'kişi'], [81, 91, 'kişi durumu'], [67, 80, 'kişi durumu'], [115, 146, 'yer'], [202, 208, 'ihtiyaç']]
1624697653173813248	1	Yardım Çağrısı	[[40, 42, 'il'], [115, 117, 'il'], [64, 66, 'il'], [91, 93, 'il'], [187, 194, 'ilçe'], [110, 127, 'mahalle veya köy'], [128, 153, 'bulvar veya cadde veya sokak'], [154, 175, 'apartman veya bina veya site'], [32, 39, 'kişi'], [0, 16, 'kişi'], [17, 30, 'kişi durumu'], [53, 63, 'ihtiyaç'], [68, 73, 'ihtiyaç']]
1623506264310312960	0	Bağış ve Gönüllülük	[]
1622678813430673408	0	Bağış ve Gönüllülük	[]
1622983057048236032	0	Bilgi Paylaşımı	[]
1622957502202511360	0	Konu Dışı	[]
1622987831730634752	0	Bilgi Paylaşımı	[]
1622813683792347136	0	Bağış ve Gönüllülük	[]
1624648659710115840	0	Konu Dışı	[]
1624123648788267008	1	Yardım Çağrısı	[[0, 8, 'il'], [9, 14, 'ilçe'], [167, 182, 'kişi'], [87, 94, 'kişi durumu'], [188, 195, 'kişi durumu'], [35, 54, 'yer']]
1623053161186598912	0	İhtiyaç	[]
1623841546591141888	0	İhtiyaç	[[0, 8, 'il'], [9, 16, 'ilçe'], [21, 33, 'mahalle veya köy'], [89, 94, 'ihtiyaç'], [98, 105, 'ihtiyaç'], [57, 62, 'ihtiyaç']]
1622925271497146368	0	Bağış ve Gönüllülük	[]
1622711660925386752	0	Konu Dışı	[]
1624084690352177152	0	Konu Dışı	[]
1622714899251036160	0	Bağış ve Gönüllülük	[]
1622782600401092608	0	Konu Dışı	[]
1624045737582493696	0	Yardım Çağrısı	[[27, 35, 'il'], [43, 64, 'mahalle veya köy'], [65, 80, 'bulvar veya cadde veya sokak'], [14, 25, 'kişi'], [96, 99, 'kişi durumu'], [87, 95, 'yer']]
1622878904301109248	1	Yardım Çağrısı	[[109, 116, 'il'], [109, 116, 'ilçe'], [117, 132, 'bulvar veya cadde veya sokak'], [133, 139, 'no'], [19, 31, 'kişi'], [85, 90, 'kişi durumu'], [46, 62, 'kişi durumu'], [186, 192, 'ihtiyaç']]
1624523420556836864	1	Yardım Çağrısı	[[94, 101, 'ilçe'], [102, 117, 'mahalle veya köy'], [118, 131, 'bulvar veya cadde veya sokak'], [132, 143, 'apartman veya bina veya site'], [144, 157, 'no'], [35, 47, 'kişi'], [48, 66, 'kişi'], [67, 79, 'kişi'], [80, 92, 'kişi'], [27, 34, 'kişi durumu']]
1622913466196541440	1	Yardım Çağrısı	[[0, 9, 'il'], [12, 19, 'ilçe'], [22, 29, 'ilçe'], [53, 68, 'kişi'], [113, 119, 'kişi'], [90, 103, 'kişi durumu']]
1622802861015941120	0	Konu Dışı	[]
1624663203618734080	0	Konu Dışı	[]
1622975967760203776	1	Yardım Çağrısı	[[124, 129, 'il'], [0, 5, 'il'], [117, 124, 'ilçe'], [40, 54, 'apartman veya bina veya site'], [56, 83, 'kişi'], [84, 99, 'kişi durumu'], [0, 39, 'yer']]
